Time[ms],RouteID,Delay[ms],Btldr[Mbps]
0,0,88.31436654432726,150.0
1000,0,88.31801469738795,150.0
2000,0,88.32212899147012,150.0
3000,1,88.31871920296516,150.0
4000,1,88.29996112381068,150.0
5000,1,88.28160216502174,150.0
6000,1,88.26364710667814,150.0
7000,1,88.24610069578434,150.0
8000,1,88.22896764112507,150.0
9000,1,88.21225260802409,150.0
10000,1,88.19596021399302,150.0
11000,2,87.58667305086175,150.0
12000,2,87.56203745869665,150.0
13000,2,87.53769264945693,150.0
14000,2,87.51364219905005,150.0
15000,2,87.48988968372609,150.0
16000,2,87.46643866884139,150.0
17000,2,87.44329271505019,150.0
18000,2,87.42045536887859,150.0
19000,2,87.39793016168281,150.0
20000,2,87.3757206107162,150.0
21000,2,87.35383021098494,150.0
22000,2,87.33226243857119,150.0
23000,2,87.31102074088626,150.0
24000,2,87.29010853920212,150.0
25000,2,87.26952922547775,150.0
26000,2,87.24928615569573,150.0
27000,2,87.22938265153658,150.0
28000,2,87.20982199532584,150.0
29000,2,87.19060742604857,150.0
30000,2,87.17174214053074,150.0
31000,2,87.15322928701266,150.0
32000,2,87.13507196251187,150.0
33000,2,87.11727321390146,150.0
34000,2,87.09983603013168,150.0
35000,2,87.0827633438419,150.0
36000,2,87.06605802642397,150.0
37000,2,87.04972288716455,150.0
38000,2,87.03376066900259,150.0
39000,2,87.0181740478855,150.0
40000,2,87.00296563003346,150.0
41000,2,86.98813795034529,150.0
42000,2,86.9736934691072,150.0
43000,2,86.9596345708328,150.0
44000,2,86.9459635633918,150.0
45000,2,86.93268267543279,150.0
46000,2,86.91979405425589,150.0
47000,2,86.9072997656281,150.0
48000,2,86.8952017921903,150.0
49000,2,86.88350203211482,150.0
50000,2,86.87220229789924,150.0
51000,2,86.8613043155954,150.0
52000,2,86.85080972475876,150.0
53000,2,86.84072007726415,150.0
54000,2,86.83103683631401,150.0
55000,2,86.8217613767046,150.0
56000,2,86.81289498521149,150.0
57000,2,86.8044388587166,150.0
58000,2,86.79639410655493,150.0
59000,2,86.78876174848885,150.0
60000,2,86.78154271657029,150.0
61000,2,86.77473785420703,150.0
62000,2,86.76834791763892,150.0
63000,2,86.76237357602011,150.0
64000,2,86.75681541234354,150.0
65000,2,86.75167392419839,150.0
66000,2,86.7469495239337,150.0
67000,2,86.74264254033798,150.0
68000,2,86.73875321930574,150.0
69000,2,86.73528172514125,150.0
70000,2,86.73222814084231,150.0
71000,2,86.72959247005271,150.0
72000,2,86.72737463809321,150.0
73000,2,86.7255744923438,150.0
74000,2,86.72419180504455,150.0
75000,3,84.33447625463047,150.0
76000,3,84.33086294994297,150.0
77000,3,84.3273958772764,150.0
78000,3,84.32407453619167,150.0
79000,3,84.32089846684447,150.0
80000,3,84.31786724876028,150.0
81000,3,84.31498050152757,150.0
82000,3,84.31223788510218,150.0
83000,3,84.30963910010838,150.0
84000,3,84.30718388813408,150.0
85000,3,84.30487203271397,150.0
86000,3,84.30270335643503,150.0
87000,3,84.30067772709353,150.0
88000,3,84.29879505285976,150.0
89000,3,84.2970552835981,150.0
90000,3,84.29545841460828,150.0
91000,3,84.2940044807831,150.0
92000,4,86.77000620297834,150.0
93000,4,86.7764197855845,150.0
94000,4,86.78323218597316,150.0
95000,4,86.79044185677279,150.0
96000,4,86.79804720000826,150.0
97000,4,86.80604656730993,150.0
98000,4,86.81443826048405,150.0
99000,4,86.82322053384566,150.0
100000,4,86.83239159272885,150.0
101000,4,86.84194959644879,150.0
102000,4,86.85189265815403,150.0
103000,4,86.86221884540342,150.0
104000,4,86.87292618113884,150.0
105000,4,86.88401264536142,150.0
106000,4,86.89547617438225,150.0
107000,4,86.90731466305954,150.0
108000,4,86.9195259640968,150.0
109000,5,86.0498885367862,150.0
110000,5,86.0518551022593,150.0
111000,5,86.05409315095262,150.0
112000,5,86.05660166771546,150.0
113000,5,86.05937966018122,150.0
114000,6,83.89583015637444,150.0
115000,6,83.89005598006885,150.0
116000,6,83.88446780757255,150.0
117000,6,83.87906440081512,150.0
118000,6,83.87384456325805,150.0
119000,6,83.86880714320853,150.0
120000,6,83.86395102998574,150.0
121000,6,83.859275157672,150.0
122000,6,83.85477850591961,150.0
123000,6,83.850460099323,150.0
124000,6,83.84631900870461,150.0
125000,6,83.84235435224096,150.0
126000,6,83.8385652961411,150.0
127000,6,83.83495105230638,150.0
128000,6,83.83151088358451,150.0
129000,6,83.82824410192147,150.0
130000,6,83.82515006653364,150.0
131000,6,83.82222818953635,150.0
132000,6,83.81947793132443,150.0
133000,6,83.81689880520435,150.0
134000,6,83.81449037440733,150.0
135000,6,83.81225225442779,150.0
136000,6,83.81018411291926,150.0
137000,6,83.80828567006061,150.0
138000,6,83.8065566989089,150.0
139000,6,83.80499702573736,150.0
140000,6,83.80360653036063,150.0
141000,6,83.80238514611078,150.0
142000,6,83.80133286148155,150.0
143000,6,83.80044971879444,150.0
144000,6,83.79973581389228,150.0
145000,6,83.79919130056393,150.0
146000,6,83.79881638455599,150.0
147000,6,83.79861132815768,150.0
148000,6,83.79857645117492,150.0
149000,6,83.79871212714129,150.0
150000,6,83.7990187860413,150.0
151000,6,83.79949691527925,150.0
152000,6,83.80014705828758,150.0
153000,6,83.80096981296495,150.0
154000,6,83.80196583724258,150.0
155000,6,83.8031358443105,150.0
156000,6,83.80448060449513,150.0
157000,6,83.80600094354145,150.0
158000,6,83.80769774751737,150.0
159000,6,83.8095719571009,150.0
160000,7,86.92018943083265,150.0
161000,7,86.92586031387233,150.0
162000,8,84.3271358981214,150.0
163000,8,84.32755905371955,150.0
164000,8,84.32811977498038,150.0
165000,8,84.32881800067427,150.0
166000,8,84.32965371153746,150.0
167000,8,84.33062693217552,150.0
168000,8,84.33173773080738,150.0
169000,8,84.33298621577289,150.0
170000,8,84.33437254165422,150.0
171000,8,84.33589690171223,150.0
172000,8,84.3375595344552,150.0
173000,8,84.33936071786945,150.0
174000,8,84.3413007738911,150.0
175000,8,84.34338006629254,150.0
176000,8,84.34559899885069,150.0
177000,8,84.3479580178768,150.0
178000,9,87.08167011411349,150.0
179000,9,87.09417254472525,150.0
180000,9,87.10702766853116,150.0
181000,9,87.12023257158832,150.0
182000,9,87.13378433407101,150.0
183000,9,87.14768003433777,150.0
184000,9,87.16191674635718,150.0
185000,9,87.17649154614648,150.0
186000,9,87.19140150744799,150.0
187000,9,87.2066437067063,150.0
188000,9,87.22221522199182,150.0
189000,9,87.23811313384137,150.0
190000,9,87.25433452818041,150.0
191000,9,87.27087649284482,150.0
192000,9,87.28773612362085,150.0
193000,10,83.70323609262222,150.0
194000,10,83.69952981564786,150.0
195000,10,83.6960104568848,150.0
196000,10,83.69267661040688,150.0
197000,10,83.68952693017384,150.0
198000,10,83.68656012473942,150.0
199000,10,83.68377496497898,150.0
200000,10,83.68117027589919,150.0
201000,10,83.67874494287392,150.0
202000,10,83.67649791136937,150.0
203000,10,83.67442818398993,150.0
204000,10,83.6725348231078,150.0
205000,10,83.67081695035611,150.0
206000,10,83.66927374672039,150.0
207000,10,83.66790445260106,150.0
208000,10,83.66670836781626,150.0
209000,10,83.6656848511273,150.0
210000,10,83.66483332256192,150.0
211000,10,83.66415325967455,150.0
212000,10,83.6636441995905,150.0
213000,10,83.66330574046901,150.0
214000,10,83.6631375374583,150.0
215000,10,83.66313930718141,150.0
216000,10,83.66331082366004,150.0
217000,10,83.66365191981146,150.0
218000,10,83.66416248940672,150.0
219000,10,83.66484248229371,150.0
220000,10,83.66569190957415,150.0
221000,10,83.66671083809376,150.0
222000,10,83.6678993954938,150.0
223000,10,83.669257765916,150.0
224000,10,83.67078619143851,150.0
225000,10,83.67248497176496,150.0
226000,10,83.67435446543232,150.0
227000,10,83.67639508594671,150.0
228000,10,83.6786073063766,150.0
229000,10,83.68099165439796,150.0
230000,10,83.68354871478742,150.0
231000,10,83.68627912771788,150.0
232000,10,83.68918359173166,150.0
233000,10,83.6922628565549,150.0
234000,10,83.69551773170637,150.0
235000,10,83.69894907666236,150.0
236000,10,83.70255780913456,150.0
237000,10,83.70634489927248,150.0
238000,10,83.71031136884258,150.0
239000,10,83.71445829458939,150.0
240000,10,83.71878680522123,150.0
241000,10,83.72329807985221,150.0
242000,10,83.72799335033791,150.0
243000,10,83.732873897257,150.0
244000,10,83.73794105249405,150.0
245000,11,87.30631132119224,150.0
246000,11,87.29351136378835,150.0
247000,11,87.28104138740001,150.0
248000,11,87.26890355456709,150.0
249000,11,87.25710001922913,150.0
250000,11,87.24563292630621,150.0
251000,11,87.2345044131878,150.0
252000,11,87.22371660621629,150.0
253000,11,87.21327162233587,150.0
254000,11,87.20317156846903,150.0
255000,11,87.19341853876126,150.0
256000,11,87.18401461686987,150.0
257000,11,87.17496187317258,150.0
258000,11,87.16626236418755,150.0
259000,11,87.15791813232254,150.0
260000,11,87.14993120517278,150.0
261000,11,87.14230359250674,150.0
262000,11,87.13503728804734,150.0
263000,11,87.12813426621348,150.0
264000,11,87.121596481814,150.0
265000,11,87.11542586705491,150.0
266000,11,87.10962433328255,150.0
267000,11,87.1041937669722,150.0
268000,11,87.09913602865306,150.0
269000,11,87.09445295129181,150.0
270000,11,87.09014633886206,150.0
271000,11,87.08621796476095,150.0
272000,11,87.08266956858543,150.0
273000,11,87.07950285462717,150.0
274000,11,87.07671949166108,150.0
275000,11,87.07432110778633,150.0
276000,11,87.07230929049665,150.0
277000,11,87.07068558221901,150.0
278000,11,87.06945148068209,150.0
279000,12,83.96797528678404,150.0
280000,12,83.96717547125301,150.0
281000,12,83.96656417696549,150.0
282000,12,83.96614071505378,150.0
283000,12,83.96590444753902,150.0
284000,12,83.96585478512056,150.0
285000,12,83.96599118537897,150.0
286000,12,83.96631315442062,150.0
287000,12,83.96682024584331,150.0
288000,12,83.96751206248462,150.0
289000,12,83.96838825252196,150.0
290000,12,83.96944851470928,150.0
291000,12,83.97069259183905,150.0
292000,12,83.97212027645233,150.0
293000,12,83.97373140421541,150.0
294000,12,83.97552586099607,150.0
295000,12,83.9775035766956,150.0
296000,12,83.97966452730869,150.0
297000,12,83.98200873326482,150.0
298000,12,83.98453626267772,150.0
299000,12,83.98724722547325,150.0
300000,12,83.99014177600245,150.0
301000,12,83.99322011400693,150.0
302000,12,83.99648248004424,150.0
303000,12,83.99992916001578,150.0
304000,12,84.0035604782842,150.0
305000,12,84.0073768044741,150.0
306000,12,84.01137854734834,150.0
307000,12,84.01556615637274,150.0
308000,12,84.0199401210509,150.0
309000,12,84.0245009691514,150.0
310000,12,84.0292492679828,150.0
311000,12,84.03418562148794,150.0
312000,12,84.03931067164937,150.0
313000,12,84.04462509494246,150.0
314000,12,84.05012960635743,150.0
315000,12,84.05582495266698,150.0
316000,12,84.06171191438922,150.0
317000,13,86.96442697176981,150.0
318000,13,86.95141496573369,150.0
319000,13,86.93878460308588,150.0
320000,13,86.92653786387952,150.0
321000,13,86.91467665941786,150.0
322000,13,86.90320283326787,150.0
323000,13,86.89211816004978,150.0
324000,13,86.88142434542799,150.0
325000,13,86.87112302356569,150.0
326000,13,86.86121575918123,150.0
327000,13,86.85170404603875,150.0
328000,13,86.8425893055792,150.0
329000,13,86.83387288952743,150.0
330000,13,86.82555607679836,150.0
331000,13,86.81764007559966,150.0
332000,13,86.81012602105271,150.0
333000,13,86.80301497866263,150.0
334000,13,86.79630794106801,150.0
335000,13,86.79000583048264,150.0
336000,13,86.78410949709233,150.0
337000,13,86.77861972153998,150.0
338000,13,86.77353721320534,150.0
339000,13,86.76886261156234,150.0
340000,13,86.76459648671931,150.0
341000,13,86.76073933856532,150.0
342000,13,86.75729159930536,150.0
343000,13,86.75425363208385,150.0
344000,13,86.75162573155677,150.0
345000,14,84.39954504863246,150.0
346000,14,84.39515909918855,150.0
347000,14,84.39092249335219,150.0
348000,14,84.38683471250195,150.0
349000,14,84.38289527672197,150.0
350000,14,84.37910374060903,150.0
351000,14,84.37545969638863,150.0
352000,14,84.37196277497797,150.0
353000,14,84.36861264386611,150.0
354000,14,84.36540901039994,150.0
355000,14,84.36235161922184,150.0
356000,14,84.35944025525313,150.0
357000,14,84.35667474332085,150.0
358000,14,84.35405494591862,150.0
359000,14,84.35158076805553,150.0
360000,15,86.7653332466025,150.0
361000,15,86.76965807491341,150.0
362000,15,86.77438719060405,150.0
363000,15,86.77951968263295,150.0
364000,15,86.78505458036126,150.0
365000,15,86.7909908538771,150.0
366000,15,86.79732741388776,150.0
367000,15,86.80406311235559,150.0
368000,15,86.81119674245097,150.0
369000,15,86.81872703962726,150.0
370000,15,86.82665268121818,150.0
371000,15,86.83497228690763,150.0
372000,15,86.84368441887347,150.0
373000,15,86.8527875830517,150.0
374000,16,84.61198720104221,150.0
375000,17,86.07623092594564,150.0
376000,17,86.07531611081619,150.0
377000,17,86.0746744221147,150.0
378000,17,86.07430501929642,150.0
379000,17,86.07420707861363,150.0
380000,17,86.07437979441956,150.0
381000,17,86.07482237966747,150.0
382000,17,86.0755340660105,150.0
383000,17,86.07651410478812,150.0
384000,17,86.0777617673032,150.0
385000,17,86.07927634462732,150.0
386000,18,84.00949140668062,150.0
387000,18,84.00348949229817,150.0
388000,18,83.99767230878655,150.0
389000,18,83.99203880513728,150.0
390000,18,83.98658796509453,150.0
391000,18,83.98131881172365,150.0
392000,18,83.9762304070442,150.0
393000,18,83.97132185306423,150.0
394000,18,83.96659229181762,150.0
395000,18,83.9620409075205,150.0
396000,18,83.95766692665772,150.0
397000,18,83.95346961589716,150.0
398000,18,83.94944828821653,150.0
399000,18,83.9456022998594,150.0
400000,18,83.94193104985244,150.0
401000,18,83.93843398489498,150.0
402000,18,83.93511059463708,150.0
